"code";"city";"state";"region";"population"
110001;"Alta Floresta D'Oeste";"Rondônia";"NORTE";25437
110002;"Ariquemes";"Rondônia";"NORTE";107345
110003;"Cabixi";"Rondônia";"NORTE";6224
110004;"Cacoal";"Rondônia";"NORTE";88507
110005;"Cerejeiras";"Rondônia";"NORTE";17934
110006;"Colorado do Oeste";"Rondônia";"NORTE";18467
110007;"Corumbiara";"Rondônia";"NORTE";8659
110008;"Costa Marques";"Rondônia";"NORTE";17400
110009;"Espigão D'Oeste";"Rondônia";"NORTE";33030
110010;"Guajará-Mirim";"Rondônia";"NORTE";47451
110011;"Jaru";"Rondônia";"NORTE";55871
110012;"Ji-Paraná";"Rondônia";"NORTE";132667
110013;"Machadinho D'Oeste";"Rondônia";"NORTE";38609
110014;"Nova Brasilândia D'Oeste";"Rondônia";"NORTE";21747
110015;"Ouro Preto do Oeste";"Rondônia";"NORTE";39759
110018;"Pimenta Bueno";"Rondônia";"NORTE";38051
110020;"Porto Velho";"Rondônia";"NORTE";519436
110025;"Presidente Médici";"Rondônia";"NORTE";22124
110026;"Rio Crespo";"Rondônia";"NORTE";3829
110028;"Rolim de Moura";"Rondônia";"NORTE";57074
110029;"Santa Luzia D'Oeste";"Rondônia";"NORTE";8198
110030;"Vilhena";"Rondônia";"NORTE";95630
110032;"São Miguel do Guaporé";"Rondônia";"NORTE";24181
110033;"Nova Mamoré";"Rondônia";"NORTE";28891
110034;"Alvorada D'Oeste";"Rondônia";"NORTE";16747
110037;"Alto Alegre dos Parecis";"Rondônia";"NORTE";14045
110040;"Alto Paraíso";"Rondônia";"NORTE";20916
110045;"Buritis";"Rondônia";"NORTE";39044
110050;"Novo Horizonte do Oeste";"Rondônia";"NORTE";10051
110060;"Cacaulândia";"Rondônia";"NORTE";6460
110070;"Campo Novo de Rondônia";"Rondônia";"NORTE";14484
110080;"Candeias do Jamari";"Rondônia";"NORTE";25266
110090;"Castanheiras";"Rondônia";"NORTE";3550
110092;"Chupinguaia";"Rondônia";"NORTE";10593
110094;"Cujubim";"Rondônia";"NORTE";22443
110100;"Governador Jorge Teixeira";"Rondônia";"NORTE";9745
110110;"Itapuã do Oeste";"Rondônia";"NORTE";10310
110120;"Ministro Andreazza";"Rondônia";"NORTE";10751
110130;"Mirante da Serra";"Rondônia";"NORTE";12258
110140;"Monte Negro";"Rondônia";"NORTE";16186
110143;"Nova União";"Rondônia";"NORTE";7769
110145;"Parecis";"Rondônia";"NORTE";5904
110146;"Pimenteiras do Oeste";"Rondônia";"NORTE";2410
110147;"Primavera de Rondônia";"Rondônia";"NORTE";3411
110148;"São Felipe D'Oeste";"Rondônia";"NORTE";5994
110149;"São Francisco do Guaporé";"Rondônia";"NORTE";19694
110150;"Seringueiras";"Rondônia";"NORTE";12653
110155;"Teixeirópolis";"Rondônia";"NORTE";4931
110160;"Theobroma";"Rondônia";"NORTE";11350
110170;"Urupá";"Rondônia";"NORTE";13106
110175;"Vale do Anari";"Rondônia";"NORTE";11149
110180;"Vale do Paraíso";"Rondônia";"NORTE";8047
120001;"Acrelândia";"Acre";"NORTE";14366
120005;"Assis Brasil";"Acre";"NORTE";6986
120010;"Brasiléia";"Acre";"NORTE";24765
120013;"Bujari";"Acre";"NORTE";9664
120017;"Capixaba";"Acre";"NORTE";11136
120020;"Cruzeiro do Sul";"Acre";"NORTE";82622
120025;"Epitaciolândia";"Acre";"NORTE";17340
120030;"Feijó";"Acre";"NORTE";32360
120032;"Jordão";"Acre";"NORTE";7858
120033;"Mâncio Lima";"Acre";"NORTE";17910
120034;"Manoel Urbano";"Acre";"NORTE";8886
120035;"Marechal Thaumaturgo";"Acre";"NORTE";17897
120038;"Plácido de Castro";"Acre";"NORTE";18510
120039;"Porto Walter";"Acre";"NORTE";11353
120040;"Rio Branco";"Acre";"NORTE";383443
120042;"Rodrigues Alves";"Acre";"NORTE";17945
120043;"Santa Rosa do Purus";"Acre";"NORTE";6230
120045;"Senador Guiomard";"Acre";"NORTE";21552
120050;"Sena Madureira";"Acre";"NORTE";43139
120060;"Tarauacá";"Acre";"NORTE";40024
120070;"Xapuri";"Acre";"NORTE";18174
120080;"Porto Acre";"Acre";"NORTE";17459
130002;"Alvarães";"Amazonas";"NORTE";15908
130006;"Amaturá";"Amazonas";"NORTE";11242
130008;"Anamã";"Amazonas";"NORTE";12978
130010;"Anori";"Amazonas";"NORTE";20196
130014;"Apuí";"Amazonas";"NORTE";21406
130020;"Atalaia do Norte";"Amazonas";"NORTE";19054
130030;"Autazes";"Amazonas";"NORTE";38454
130040;"Barcelos";"Amazonas";"NORTE";27743
130050;"Barreirinha";"Amazonas";"NORTE";31542
130060;"Benjamin Constant";"Amazonas";"NORTE";41329
130063;"Beruri";"Amazonas";"NORTE";18978
130068;"Boa Vista do Ramos";"Amazonas";"NORTE";18483
130070;"Boca do Acre";"Amazonas";"NORTE";34176
130080;"Borba";"Amazonas";"NORTE";40464
130083;"Caapiranga";"Amazonas";"NORTE";12820
130090;"Canutama";"Amazonas";"NORTE";15490
130100;"Carauari";"Amazonas";"NORTE";28337
130110;"Careiro";"Amazonas";"NORTE";37399
130115;"Careiro da Várzea";"Amazonas";"NORTE";29190
130120;"Coari";"Amazonas";"NORTE";84762
130130;"Codajás";"Amazonas";"NORTE";27817
130140;"Eirunepé";"Amazonas";"NORTE";34888
130150;"Envira";"Amazonas";"NORTE";19492
130160;"Fonte Boa";"Amazonas";"NORTE";19669
130165;"Guajará";"Amazonas";"NORTE";16339
130170;"Humaitá";"Amazonas";"NORTE";53383
130180;"Ipixuna";"Amazonas";"NORTE";28299
130185;"Iranduba";"Amazonas";"NORTE";47407
130190;"Itacoatiara";"Amazonas";"NORTE";99854
130195;"Itamarati";"Amazonas";"NORTE";8128
130200;"Itapiranga";"Amazonas";"NORTE";9125
130210;"Japurá";"Amazonas";"NORTE";4205
130220;"Juruá";"Amazonas";"NORTE";13956
130230;"Jutaí";"Amazonas";"NORTE";15824
130240;"Lábrea";"Amazonas";"NORTE";44861
130250;"Manacapuru";"Amazonas";"NORTE";96460
130255;"Manaquiri";"Amazonas";"NORTE";30222
130260;"Manaus";"Amazonas";"NORTE";2130264
130270;"Manicoré";"Amazonas";"NORTE";54708
130280;"Maraã";"Amazonas";"NORTE";18531
130290;"Maués";"Amazonas";"NORTE";62212
130300;"Nhamundá";"Amazonas";"NORTE";20902
130310;"Nova Olinda do Norte";"Amazonas";"NORTE";36431
130320;"Novo Airão";"Amazonas";"NORTE";18586
130330;"Novo Aripuanã";"Amazonas";"NORTE";25112
130340;"Parintins";"Amazonas";"NORTE";113832
130350;"Pauini";"Amazonas";"NORTE";19597
130353;"Presidente Figueiredo";"Amazonas";"NORTE";34574
130356;"Rio Preto da Eva";"Amazonas";"NORTE";32001
130360;"Santa Isabel do Rio Negro";"Amazonas";"NORTE";23765
130370;"Santo Antônio do Içá";"Amazonas";"NORTE";23075
130380;"São Gabriel da Cachoeira";"Amazonas";"NORTE";44553
130390;"São Paulo de Olivença";"Amazonas";"NORTE";38047
130395;"São Sebastião do Uatumã";"Amazonas";"NORTE";13421
130400;"Silves";"Amazonas";"NORTE";9211
130406;"Tabatinga";"Amazonas";"NORTE";63635
130410;"Tapauá";"Amazonas";"NORTE";17930
130420;"Tefé";"Amazonas";"NORTE";62021
130423;"Tonantins";"Amazonas";"NORTE";18782
130426;"Uarini";"Amazonas";"NORTE";13428
130430;"Urucará";"Amazonas";"NORTE";16968
130440;"Urucurituba";"Amazonas";"NORTE";22148
140002;"Amajari";"Roraima";"NORTE";11560
140005;"Alto Alegre";"Roraima";"NORTE";15933
140010;"Boa Vista";"Roraima";"NORTE";332020
140015;"Bonfim";"Roraima";"NORTE";11945
140017;"Cantá";"Roraima";"NORTE";16877
140020;"Caracaraí";"Roraima";"NORTE";20807
140023;"Caroebe";"Roraima";"NORTE";9493
140028;"Iracema";"Roraima";"NORTE";10859
140030;"Mucajaí";"Roraima";"NORTE";16852
140040;"Normandia";"Roraima";"NORTE";10527
140045;"Pacaraima";"Roraima";"NORTE";12375
140047;"Rorainópolis";"Roraima";"NORTE";28215
140050;"São João da Baliza";"Roraima";"NORTE";7740
140060;"São Luiz";"Roraima";"NORTE";7597
140070;"Uiramutã";"Roraima";"NORTE";9836
150010;"Abaetetuba";"Pará";"NORTE";153380
150013;"Abel Figueiredo";"Pará";"NORTE";7231
150020;"Acará";"Pará";"NORTE";54096
150030;"Afuá";"Pará";"NORTE";38144
150034;"Água Azul do Norte";"Pará";"NORTE";26682
150040;"Alenquer";"Pará";"NORTE";55246
150050;"Almeirim";"Pará";"NORTE";33195
150060;"Altamira";"Pará";"NORTE";111435
150070;"Anajás";"Pará";"NORTE";28466
150080;"Ananindeua";"Pará";"NORTE";516057
150085;"Anapu";"Pará";"NORTE";27096
150090;"Augusto Corrêa";"Pará";"NORTE";44734
150095;"Aurora do Pará";"Pará";"NORTE";30471
150100;"Aveiro";"Pará";"NORTE";15947
150110;"Bagre";"Pará";"NORTE";29808
150120;"Baião";"Pará";"NORTE";46110
150125;"Bannach";"Pará";"NORTE";3200
150130;"Barcarena";"Pará";"NORTE";121190
150140;"Belém";"Pará";"NORTE";1452275
150145;"Belterra";"Pará";"NORTE";17249
150150;"Benevides";"Pará";"NORTE";60990
150157;"Bom Jesus do Tocantins";"Pará";"NORTE";16517
150160;"Bonito";"Pará";"NORTE";15834
150170;"Bragança";"Pará";"NORTE";124184
150172;"Brasil Novo";"Pará";"NORTE";14689
150175;"Brejo Grande do Araguaia";"Pará";"NORTE";7182
150178;"Breu Branco";"Pará";"NORTE";64194
150180;"Breves";"Pará";"NORTE";99896
150190;"Bujaru";"Pará";"NORTE";28331
150195;"Cachoeira do Piriá";"Pará";"NORTE";32947
150200;"Cachoeira do Arari";"Pará";"NORTE";23110
150210;"Cametá";"Pará";"NORTE";134100
150215;"Canaã dos Carajás";"Pará";"NORTE";36027
150220;"Capanema";"Pará";"NORTE";67150
150230;"Capitão Poço";"Pará";"NORTE";52839
150240;"Castanhal";"Pará";"NORTE";195253
150250;"Chaves";"Pará";"NORTE";23066
150260;"Colares";"Pará";"NORTE";11759
150270;"Conceição do Araguaia";"Pará";"NORTE";46571
150275;"Concórdia do Pará";"Pará";"NORTE";32395
150276;"Cumaru do Norte";"Pará";"NORTE";13093
150277;"Curionópolis";"Pará";"NORTE";17453
150280;"Curralinho";"Pará";"NORTE";33490
150285;"Curuá";"Pará";"NORTE";13996
150290;"Curuçá";"Pará";"NORTE";38959
150293;"Dom Eliseu";"Pará";"NORTE";58071
150295;"Eldorado do Carajás";"Pará";"NORTE";32892
150300;"Faro";"Pará";"NORTE";7009
150304;"Floresta do Araguaia";"Pará";"NORTE";19746
150307;"Garrafão do Norte";"Pará";"NORTE";25363
150309;"Goianésia do Pará";"Pará";"NORTE";39352
150310;"Gurupá";"Pará";"NORTE";32458
150320;"Igarapé-Açu";"Pará";"NORTE";37753
150330;"Igarapé-Miri";"Pará";"NORTE";60994
150340;"Inhangapi";"Pará";"NORTE";11388
150345;"Ipixuna do Pará";"Pará";"NORTE";62237
150350;"Irituia";"Pará";"NORTE";31673
150360;"Itaituba";"Pará";"NORTE";98523
150370;"Itupiranga";"Pará";"NORTE";51835
150375;"Jacareacanga";"Pará";"NORTE";8059
150380;"Jacundá";"Pará";"NORTE";57526
150390;"Juruti";"Pará";"NORTE";56325
150400;"Limoeiro do Ajuru";"Pará";"NORTE";28138
150405;"Mãe do Rio";"Pará";"NORTE";29260
150410;"Magalhães Barata";"Pará";"NORTE";8316
150420;"Marabá";"Pará";"NORTE";271594
150430;"Maracanã";"Pará";"NORTE";28679
150440;"Marapanim";"Pará";"NORTE";27569
150442;"Marituba";"Pará";"NORTE";127858
150445;"Medicilândia";"Pará";"NORTE";30726
150450;"Melgaço";"Pará";"NORTE";26897
150460;"Mocajuba";"Pará";"NORTE";30277
150470;"Moju";"Pará";"NORTE";79825
150475;"Mojuí dos Campos";"Pará";"NORTE";15646
150480;"Monte Alegre";"Pará";"NORTE";56466
150490;"Muaná";"Pará";"NORTE";39231
150495;"Nova Esperança do Piriá";"Pará";"NORTE";20789
150497;"Nova Ipixuna";"Pará";"NORTE";16221
150500;"Nova Timboteua";"Pará";"NORTE";14942
150503;"Novo Progresso";"Pará";"NORTE";25071
150506;"Novo Repartimento";"Pará";"NORTE";73802
150510;"Óbidos";"Pará";"NORTE";50727
150520;"Oeiras do Pará";"Pará";"NORTE";31619
150530;"Oriximiná";"Pará";"NORTE";71078
150540;"Ourém";"Pará";"NORTE";17356
150543;"Ourilândia do Norte";"Pará";"NORTE";31921
150548;"Pacajá";"Pará";"NORTE";46383
150549;"Palestina do Pará";"Pará";"NORTE";7386
150550;"Paragominas";"Pará";"NORTE";110026
150553;"Parauapebas";"Pará";"NORTE";202356
150555;"Pau d'Arco";"Pará";"NORTE";5341
150560;"Peixe-Boi";"Pará";"NORTE";7860
150563;"Piçarra";"Pará";"NORTE";12632
150565;"Placas";"Pará";"NORTE";30109
150570;"Ponta de Pedras";"Pará";"NORTE";30219
150580;"Portel";"Pará";"NORTE";60322
150590;"Porto de Moz";"Pará";"NORTE";39991
150600;"Prainha";"Pará";"NORTE";29067
150610;"Primavera";"Pará";"NORTE";10534
150611;"Quatipuru";"Pará";"NORTE";13237
150613;"Redenção";"Pará";"NORTE";82464
150616;"Rio Maria";"Pará";"NORTE";17705
150618;"Rondon do Pará";"Pará";"NORTE";50925
150619;"Rurópolis";"Pará";"NORTE";49093
150620;"Salinópolis";"Pará";"NORTE";39569
150630;"Salvaterra";"Pará";"NORTE";23096
150635;"Santa Bárbara do Pará";"Pará";"NORTE";20492
150640;"Santa Cruz do Arari";"Pará";"NORTE";9845
150650;"Santa Izabel do Pará";"Pará";"NORTE";68836
150655;"Santa Luzia do Pará";"Pará";"NORTE";19316
