"region";"DS_GESTAO";"total"
"CENTRO OESTE";"ALTA COMPLEXIDADE";1314
"CENTRO OESTE";"ATENCAO BASICA";13537
"CENTRO OESTE";"INTERNACAO";39
"CENTRO OESTE";"MEDIA COMPLEXIDADE";23310
"CENTRO OESTE";"NAO SE APLICA";252
"NORDESTE";"ALTA COMPLEXIDADE";2428
"NORDESTE";"ATENCAO BASICA";35862
"NORDESTE";"INTERNACAO";117
"NORDESTE";"MEDIA COMPLEXIDADE";51464
"NORDESTE";"NAO SE APLICA";386
"NORTE";"ALTA COMPLEXIDADE";774
"NORTE";"ATENCAO BASICA";9591
"NORTE";"INTERNACAO";44
"NORTE";"MEDIA COMPLEXIDADE";12591
"NORTE";"NAO SE APLICA";215
"SUDESTE";"ALTA COMPLEXIDADE";5849
"SUDESTE";"ATENCAO BASICA";68177
"SUDESTE";"INTERNACAO";137
"SUDESTE";"MEDIA COMPLEXIDADE";131528
"SUDESTE";"NAO SE APLICA";1085
"SUL";"ALTA COMPLEXIDADE";2178
"SUL";"ATENCAO BASICA";33345
"SUL";"INTERNACAO";46
"SUL";"MEDIA COMPLEXIDADE";53428
"SUL";"NAO SE APLICA";522
NA;"ALTA COMPLEXIDADE";2
NA;"ATENCAO BASICA";250
NA;"INTERNACAO";1
NA;"MEDIA COMPLEXIDADE";229
